Patent,SMILES,Source,pKa,Size,PDI,EE%
CA2998810A1,CCCCCCCCCCCCN(CCO)CCCCCCCCCCCC(=O)OC,137,7.06,184.4,,85.7
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,138,7.39,179.4,,91.8
CA2998810A1,CCCCCC/C=C\COC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC/C=C\CCCCCC,139,7.04,174,0.54,78.2
CA2998810A1,CCCCCCCC/C=C\COC(=O)CCCCCN(CCO)CCCCCC(=O)OC/C=C\CCCCCCCC,140,7.71,120.3,0.84,89.2
CA2998810A1,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCC(=O)OCCCCCCCCCCC,141,7.47,91.3,0.99,94.1
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCC(=O)OCC(CCCCCCCC)CCCCCCCC,143,6.47,93.3,0.19,96.4
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,144,7.09,135.9,0.22,90.3
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(C)CCCCCCCC,145,7.25,176.5,0.14,89.15
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)N(C)CCCCCCCC,146,7.78,97,0.21,91.94
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC,147,6.66,99.5,0.13,88.31
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCC(CCCCCCC)OC,148,6.646,192.7,0.2,25.49
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCC(=O)OCCCCCCC,149,6.284,62.1,0.11,98
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCCCC(=O)OCCCCC,150,6.101,63.1,0.082,96.72
CA2998810A1,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,151,6.593,105.7,0.14,87.86
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCC/C=C\C(CCCCCCCC)CCCCCCCC,152,6.465,62.6,0.072,99.29
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(CCCCCCCC)CCCCCCCC,153,6.58,83.7,0.15,98.39
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOCCO,154,6.827,92.9,0.11,94.28
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,155,6.576,208.3,0.24,37.36
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(CO)CO,156,6.572,74.3,0.072,98.9
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(C)CO,157,6.275,69.6,0.096,96.43
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,158,6.953,251.8,0.08,35.7
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,159,7.873,75.9,0.19,99.29
